CLUSTER_COUNT	STATUS	CLUSTER_SIZE	DATASET	RESOURCE_URI	CLUSTER_ID	ILN_GROUP	RESOURCE_URI_NEW
112	B	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24582221p2	PH0dd8fc133ca8f98	1	https://archief.amsterdam/indexen/deeds/8ced6cc3-455b-4bc3-a14d-90ff3f8501e6?person=961f6ad8-1f1c-53f7-e053-b784100aa83b
112	B	4	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/6181	PH0dd8fc133ca8f98	1	http://www.vondel.humanities.uva.nl/ecartico/persons/6181
112	B	4	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26387149p1	PH0dd8fc133ca8f98	1	https://archief.amsterdam/indexen/deeds/4dd2af38-d194-44a4-8955-2ccad9ce0b4a?person=961f6b23-4241-53f7-e053-b784100aa83b
112	B	4	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26542275p1	PH0dd8fc133ca8f98	 	https://archief.amsterdam/indexen/deeds/4d86a59c-ca38-498c-8c66-24dfdce13905?person=961f6b1d-9b3c-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24582221p1	PH1686a9edd0a5cbd	3	https://archief.amsterdam/indexen/deeds/8ced6cc3-455b-4bc3-a14d-90ff3f8501e6?person=961f6ad8-1f1d-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/saaId10833284p2	PH1686a9edd0a5cbd	2	NOT FOUND
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/saaId10833302p1	PH1686a9edd0a5cbd	2	https://archief.amsterdam/indexen/deeds/97f80391-46a6-4400-a340-d79bd4c9c0ea?person=99e87e17-9872-2bb2-e053-b784100a6a2e
113	B	16	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/10925	PH1686a9edd0a5cbd	 	http://www.vondel.humanities.uva.nl/ecartico/persons/10925
113	B	16	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/15489	PH1686a9edd0a5cbd	 	http://www.vondel.humanities.uva.nl/ecartico/persons/15489
113	B	16	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/9373	PH1686a9edd0a5cbd	1	http://www.vondel.humanities.uva.nl/ecartico/persons/9373
113	B	16	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/9572	PH1686a9edd0a5cbd	 	http://www.vondel.humanities.uva.nl/ecartico/persons/9572
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26318494p2	PH1686a9edd0a5cbd	 	https://archief.amsterdam/indexen/deeds/4b4f9680-6991-4214-86aa-bf3e39025266?person=961f6b1b-7581-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26372890p2	PH1686a9edd0a5cbd	 	https://archief.amsterdam/indexen/deeds/1bb42e1e-f647-4e41-9633-77db32711d5f?person=961f6b15-8d82-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26372927p2	PH1686a9edd0a5cbd	 	https://archief.amsterdam/indexen/deeds/0265a9ca-d43a-4784-af20-31b2cca8e12a?person=961f6b20-2dd6-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26373143p2	PH1686a9edd0a5cbd	1	https://archief.amsterdam/indexen/deeds/a22b23f4-e2fd-4283-bc7c-aa00a232ac5d?person=961f6b1a-1b7e-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26378534p2	PH1686a9edd0a5cbd	 	https://archief.amsterdam/indexen/deeds/1d50047e-16bc-4935-9d20-b98d93f4b880?person=961f6b1b-a461-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26383057p2	PH1686a9edd0a5cbd	 	https://archief.amsterdam/indexen/deeds/86c2edf8-a42d-4f0f-a859-f62fefea9361?person=961f6b20-35ba-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26385270p2	PH1686a9edd0a5cbd	 	https://archief.amsterdam/indexen/deeds/f985109c-39c9-4848-abd5-f8aa624c0bf1?person=961f6b15-972a-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26387149p2	PH1686a9edd0a5cbd	3	https://archief.amsterdam/indexen/deeds/4dd2af38-d194-44a4-8955-2ccad9ce0b4a?person=961f6b23-4242-53f7-e053-b784100aa83b
113	B	16	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26396317p2	PH1686a9edd0a5cbd	 	https://archief.amsterdam/indexen/deeds/e8e5bcb4-0279-4704-bb2f-7c3f7217af53?person=961f6b20-4016-53f7-e053-b784100aa83b
114	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24256697p2	PH06240a18876f654	1	https://archief.amsterdam/indexen/deeds/a2eec36f-6976-4b75-a9ad-373ff416bab9?person=961f6b03-7c9c-53f7-e053-b784100aa83b
114	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24681982p2	PH06240a18876f654	1	https://archief.amsterdam/indexen/deeds/2ee5e30a-b8e3-445f-b719-a8538c4d438f?person=961f6ae0-036a-53f7-e053-b784100aa83b
